Host Id;Host Since;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating
23720407;2014-11-13T00:00:00Z;One bedroom near Prospect Park!;Brooklyn;Apartment;95;Entire home/apt;11226;1;1;5;75;96
23788168;2014-11-15T00:00:00Z;Sunny cozy room;Brooklyn;Apartment;100;Private room;11221;1;1;1;49;100
23773099;2014-11-15T00:00:00Z;Sunny huge room in Clinton Hill!;Brooklyn;Apartment;95;Private room;11238;1;1;4;75;95
23832462;2014-11-16T00:00:00Z;Studio Space in Brooklyn;Brooklyn;Apartment;100;Shared room;11221;1;1;1;63;100
23861788;2014-11-17T00:00:00Z;Confortable and private room.;Brooklyn;Apartment;95;Private room;11206;1;1;13;75;95
23860518;2014-11-17T00:00:00Z;Cozy, sunny & large A/C room in NYC;Brooklyn;Apartment;95;Private room;11214;1;1;25;80;98
23914473;2014-11-18T00:00:00Z;Comfy 1BD with Central Air ~;Brooklyn;Apartment;90;Entire home/apt;11207;1;1;9;100;93
23915201;2014-11-18T00:00:00Z;Sunny 2BD with Library in Brooklyn;Brooklyn;Apartment;90;Entire home/apt;11226;4;1;2;99;90
23915201;2014-11-18T00:00:00Z;Quiet Room & Work Space near Train;Brooklyn;Apartment;100;Private room;11226;1;1;1;65;100
23918852;2014-11-19T00:00:00Z;Two Bedrooms and Large Backyard;Brooklyn;Apartment;100;Entire home/apt;11205;2;1;2;100;100
23924719;2014-11-19T00:00:00Z;Cosy/Creative with Magical Backyard;Brooklyn;Apartment;90;Private room;11237;1;1;3;34;93
23969520;2014-11-20T00:00:00Z;Summer stay in Bushwick;Brooklyn;Apartment;100;Private room;11221;1;1;3;35;100
23988743;2014-11-20T00:00:00Z;Bohemian & Chic Apartment;Brooklyn;Apartment;100;Private room;11221;2;1;1;79;100
23988331;2014-11-20T00:00:00Z;ZEN LOFT 2 - 10 MIN TO MANHATTAN :);Brooklyn;Apartment;90;Private room;11237;1;1;31;80;92
23988331;2014-11-20T00:00:00Z;ZEN LOFT 3 - INSTANT BOOK NOW :);Brooklyn;Apartment;90;Private room;11237;1;1;41;80;90
24018734;2014-11-21T00:00:00Z;Spacious and Artsy Brooklyn Escape;Brooklyn;Apartment;100;Private room;11205;1;1;3;75;100
24001156;2014-11-21T00:00:00Z;Spacious Room in Williamsburg;Brooklyn;Apartment;100;Private room;11211;1;1;2;45;100
24004809;2014-11-21T00:00:00Z;Sunny and chill bedroom in BedStuy;Brooklyn;Apartment;100;Private room;11216;1;1;1;65;100
24022851;2014-11-22T00:00:00Z;Hacienda Brooklyn Urban Oasis;Brooklyn;Apartment;95;Private room;11237;1;1;22;79;98
24090806;2014-11-23T00:00:00Z;New Budget Room #R2 - Sleeps 4!;Brooklyn;Apartment;90;Private room;11207;2;1;30;69;93
24075308;2014-11-23T00:00:00Z;Lovely Room in a 2 BR in Greenpoint;Brooklyn;Apartment;90;Private room;11222;1;1;3;70;93
24140532;2014-11-25T00:00:00Z;City in 15! Big room, awesome apt!!;Brooklyn;Apartment;95;Private room;11206;1;1;18;60;96
24140532;2014-11-25T00:00:00Z;Single room, City in 15! Great spot;Brooklyn;Apartment;95;Private room;11206;1;1;48;50;95
24195428;2014-11-26T00:00:00Z;Stay with us, and feel like home.;Brooklyn;Apartment;90;Private room;11213;2;1;43;76;90
24269297;2014-11-28T00:00:00Z;Cozy Garden Apartment in Bushwick!!;Brooklyn;Apartment;100;Private room;11237;1;1;3;82;100
24304871;2014-11-29T00:00:00Z;Beautiful spacious room in Brooklyn;Brooklyn;Apartment;100;Private room;11226;1;1;4;47;100
24342268;2014-11-30T00:00:00Z;New townhouse 20 mins from city!;Brooklyn;Apartment;95;Entire home/apt;11207;3;1;17;80;95
24334155;2014-11-30T00:00:00Z;Spacious sunny apt in Williamsburg;Brooklyn;Apartment;100;Private room;11211;1;1;2;100;100
24382121;2014-12-01T00:00:00Z;Private Suite in Beautiful Brooklyn;Brooklyn;Apartment;95;Private room;11221;1;1;12;75;97
24404928;2014-12-02T00:00:00Z;1BR 2-blocks from BK Museum;Brooklyn;Apartment;100;Entire home/apt;11225;1;1;2;75;100
24448659;2014-12-03T00:00:00Z;Cozy Spacious Apartment;Brooklyn;Apartment;100;Entire home/apt;11210;1;1;1;90;100
